id,name,slug,category_name,country_code,sport
17,Premier League,premier-league,England,EN,Football
18,Championship,championship,England,EN,Football
24,League One,league-one,England,EN,Football
25,League Two,league-two,England,EN,Football
173,National League,national-league,England,EN,Football
19,FA Cup,fa-cup,England,EN,Football
1696,"FA Cup, Qualification",fa-cup-qualification,England,EN,Football
21,EFL Cup,efl-cup,England,EN,Football
334,Football League Trophy,football-league-trophy,England,EN,Football
10553,FA Women's Championship,fa-womens-championship,England,EN,Football
346,Community Shield,community-shield,England,EN,Football
1044,Women's Super League,the-fa-womens-super-league,England,EN,Football
11666,Women's FA Cup,fa-cup-women,England,EN,Football
24029,England National League Cup,england-national-league-cup,England,EN,Football
11667,FA Women's League Cup,fa-womens-league-cup,England,EN,Football
25492,Baller League UK,baller-league-uk,England,EN,Football
24640,FA Youth Cup,fa-youth-cup,England,EN,Football
34006,Cheshire Veterans Football League - Premier Division,cheshire-veterans-football-league-premier-division,England,EN,Football
33702,First Division,first-division,England,EN,Football
