player_id,team_name,player_name,nationality,position,age
804508,Arsenal,Viktor Gyökeres,Sweden,F,
934235,Arsenal,Bukayo Saka,England,F,
794839,Arsenal,Gabriel Jesus,Brazil,F,
922573,Arsenal,Gabriel Martinelli,Brazil,F,
836705,Arsenal,Kai Havertz,Germany,F,
135666,Arsenal,Leandro Trossard,Belgium,F,
547410,Arsenal,Martin Ødegaard,Norway,M,
856714,Arsenal,Declan Rice,England,M,
864921,Arsenal,Eberechi Eze,England,M,
966547,Arsenal,Noni Madueke,England,M,
592010,Arsenal,Mikel Merino,Spain,M,
1917626,Arsenal,Max Dowman,England,M,
966837,Arsenal,Martín Zubimendi,Spain,M,
135256,Arsenal,Christian Nørgaard,Denmark,M,
869792,Arsenal,Gabriel Magalhães,Brazil,D,
941168,Arsenal,William Saliba,France,D,
1002837,Arsenal,Piero Hincapié,Ecuador,D,
958959,Arsenal,Jurriën Timber,Netherlands,D,
957602,Arsenal,Riccardo Calafiori,Italy,D,
1423711,Arsenal,Myles Lewis-Skelly,England,D,
1144630,Arsenal,Cristhian Mosquera,Spain,D,
846036,Arsenal,Ben White,England,D,
581310,Arsenal,David Raya,Spain,G,
232422,Arsenal,Kepa Arrizabalaga,Spain,G,
1150958,Arsenal,Tommy Setford,England,G,
865057,Leicester City,Patson Daka,Zambia,F,
103045,Leicester City,Jordan Ayew,Ghana,F,
1498836,Leicester City,Dujuan Richards,Jamaica,F,
833057,Leicester City,Hamza Choudhury,Bangladesh,M,
1467990,Leicester City,Divine Mukasa,England,M,
1103589,Leicester City,Abdul Fatawu Issahaku,Ghana,M,
1861707,Leicester City,Jeremy Monga,England,M,
605338,Leicester City,Stephy Mavididi,England,M,
818073,Leicester City,Joe Aribo,Nigeria,M,
151499,Leicester City,Bobby De Cordova-Reid,Jamaica,M,
859901,Leicester City,Oliver Skipp,England,M,
545780,Leicester City,Harry Winks,England,M,
1136409,Leicester City,Jordan James,Wales,M,
1000142,Leicester City,Aaron Ramsey,England,M,
1403055,Leicester City,Michael Golding,England,M,
1917669,Leicester City,Louis Page,England,M,
1157405,Leicester City,Wanya Marcal Madivadua,Portugal,M,
1153420,Leicester City,Silko Thomas,England,M,
1092409,Leicester City,Victor Kristiansen,Denmark,D,
120538,Leicester City,Jannik Vestergaard,Denmark,D,
221200,Leicester City,Ricardo Pereira,Portugal,D,
