player_id,name,short_name,position,nationality,country_code,number
927083,Bryan Mbeumo,B. Mbeumo,F,Cameroon,CM,
971037,Amad Diallo,A. Diallo,F,Côte d'Ivoire,CI,
986397,Benjamin Šeško,B. Šeško,F,Slovenia,SI,
886363,Matheus Cunha,M. Cunha,F,Brazil,BR,
836694,Mason Mount,M. Mount,F,England,EN,
917007,Joshua Zirkzee,J. Zirkzee,F,Netherlands,NL,
1566204,Chido Obi-Martin,C. O. Martin,F,Denmark,DK,
288205,Bruno Fernandes,B. Fernandes,M,Portugal,PT,
122951,Casemiro,Casemiro,M,Brazil,BR,
1142175,Kobbie Mainoo,K. Mainoo,M,England,EN,
1397168,Patrick Dorgu,P. Dorgu,M,Denmark,DK,
846425,Manuel Ugarte,M. Ugarte,M,Uruguay,UY,
1402726,Jack Fletcher,J. Fletcher,M,England,EN,
1402850,Tyler Fletcher,T. Fletcher,M,Scotland,SX,
1881884,Jim Thwaites,J. Thwaites,M,England,EN,
847030,Noussair Mazraoui,N. Mazraoui,D,Morocco,MA,
859999,Lisandro Martínez,L. Martínez,D,Argentina,AR,
803031,Matthijs de Ligt,M. de Ligt,D,Netherlands,NL,
149380,Harry Maguire,H. Maguire,D,England,EN,
843200,Diogo Dalot,D. Dalot,D,Portugal,PT,
1153315,Leny Yoro,L. Yoro,D,France,FR,
190839,Luke Shaw,L. Shaw,D,England,EN,
1445799,Ayden Heaven,A. Heaven,D,England,EN,
825839,Tyrell Malacia,T. Malacia,D,Netherlands,NL,
964753,Senne Lammens,S. Lammens,G,Belgium,BE,
815890,Altay Bayındır,A. Bayındır,G,Türkiye,TR,
18122,Tom Heaton,T. Heaton,G,England,EN,
