joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Yasmao Cabeda,Hapoel Haifa,Kiryat Yam,0,2026-05-10T05:46:55Z,contract
Christián Bacinsky,Dukla Praha,FC Petrzalka 1898,0,2026-05-09T09:48:54Z,on loan
Anthony Limbombe,Hapoel Ironi Kiryat Shmona,Akritas Chlorakas,0,2026-05-09T06:50:35Z,contract
Nathan Trott,FC København,Cardiff,0,2026-05-08T17:39:21Z,contract
Sheraldo Becker,Osasuna,Mainz,500000,2026-05-08T15:31:15Z,contract
Giannis Bouzoukis,NFC Volos,Free agent,0,2026-05-08T06:42:59Z,contract
Habib Keïta,Clermont Foot,Kocaelispor,0,2026-05-07T12:26:25Z,contract
Andre Dozzell,Portsmouth,Free agent,0,2026-05-06T17:21:01Z,contract
Adel Mahamoud,Nantes,Epinal,0,2026-05-06T11:43:28Z,contract
Keyliane Abdallah,Marseille,Gimnastic,0,2026-05-06T11:02:41Z,on loan
Nik Prelec,Cagliari,Oxford Utd,0,2026-05-06T07:37:58Z,contract
Josh Clarke,Celtic,Partick Thistle,0,2026-05-06T07:33:12Z,contract
Peter Therkildsen,Free agent,OB,0,2026-05-06T05:05:44Z,contract
Jakub Kiwior,Arsenal,FC Porto,0,2026-05-05T20:33:46Z,contract
Aritz Elustondo,Real Sociedad,Free agent,0,2026-05-05T20:12:46Z,contract
Chuba Akpom,Ajax,Ipswich,0,2026-05-05T20:09:32Z,contract
Paul Nardi,QPR,Free agent,0,2026-05-05T11:45:36Z,contract
Ben Hamer,QPR,Free agent,0,2026-05-05T11:44:04Z,contract
Isaac Hayden,QPR,Free agent,0,2026-05-05T11:43:26Z,contract
Nikita Goylo,Zenit,FK Vitebsk,0,2026-05-05T10:57:58Z,on loan
Aleksey Koltakov,Rostov,Torpedo Moscow,56000,2026-05-05T09:29:28Z,contract
Ilya Vakhania,Rostov,Krasnodar,1550000,2026-05-05T09:23:44Z,contract
Will Dickson,Man City,Chesterfield,0,2026-05-05T08:05:35Z,contract
Marian Huja,Pogoń Szczecin,CFR Cluj,250000,2026-05-04T13:48:56Z,contract
Mattia Compagnon,Juventus,Venezia,1000000,2026-05-04T13:47:22Z,contract
Cédric Kipré,Reims,Ipswich,2500000,2026-05-04T13:46:29Z,contract
Manuel Akanji,Man City,Inter,15000000,2026-05-04T13:43:57Z,contract
Jesper Gregersen,Sarpsborg 08,Egersund,0,2026-05-03T12:20:50Z,on loan
Daniel Flores,Chivas,Phoenix Rising FC,0,2026-05-03T10:17:04Z,on loan
Nicholas Holliday,Charlotte FC,Carolina Core,0,2026-05-02T11:47:43Z,on loan
Jahlane Forbes,Charlotte FC,Las Vegas Lights FC,0,2026-05-02T11:44:47Z,contract
Davi Alexandre,NY Red Bulls,Benidorm,0,2026-05-02T11:39:04Z,contract
Markus Anderson,Philadelphia,Brooklyn FC,0,2026-05-02T11:32:27Z,on loan
Chris Donovan,Philadelphia,Louisville City,0,2026-05-02T11:28:57Z,contract
Lachlan Rose,Newcastle Jets,Dundee United,0,2026-05-02T03:53:50Z,contract
Ricardo Pereira,Leicester,Free agent,0,2026-05-01T20:45:22Z,contract
Kieran Wright,Rangers,Kilmarnock,0,2026-05-01T20:17:01Z,on loan
Samuel Klein,Brisbane Roar FC,St. Pauli,0,2026-05-01T12:56:21Z,contract
Ashley Young,Ipswich,Free agent,0,2026-04-30T18:25:09Z,contract
Ísak Thorvaldsson,Rosenborg,Lyngby,0,2026-04-30T13:43:51Z,contract
Yasin Eratilla,Kasımpaşa,Ispartaspor,0,2026-04-25T08:59:56Z,on loan
Christopher Olney Jr.,Philadelphia,Brooklyn FC,0,2026-04-25T07:49:45Z,on loan
Dmitri Pivovarov,Krasnodar,Leon Saturn Ramenskoye,0,2026-04-25T07:32:38Z,contract
Ross Sinclair,St. Johnstone,St. Mirren,0,2026-04-24T23:23:13Z,on loan
Jesper Westermark,Halmstads BK,Free agent,0,2026-04-24T14:03:22Z,contract
Yuval Sade,Maccabi Netanya,CFR Cluj,0,2026-04-24T13:34:27Z,contract
Kleiton Cuellar,Deportivo Cali,Real Cundinamarca,0,2026-04-22T10:01:36Z,on loan
Yéiler Valencia,Once Caldas,Real Cundinamarca,0,2026-04-22T09:59:35Z,on loan
Paulo Roberto,Vitoria,Cianorte,0,2026-04-22T09:31:38Z,on loan
Queyrell Tchicamboud,LASK,Zalaegerszeg,0,2026-04-22T08:29:28Z,contract
Jindřich Musil,Slovan Liberec,SK Prostejov,0,2026-04-22T07:50:33Z,on loan
Daniel Saggiomo,Argentinos Juniors,Academia Puerto Cabello,0,2026-04-21T11:03:11Z,contract
Joe Knight,Brighton,Stevenage,0,2026-04-21T10:30:40Z,contract
Steven Havales,Levadiakos,PAS Giannina,0,2026-04-21T06:22:38Z,contract
Cobel Garcia,Basel,Rapperswil,0,2026-04-20T12:21:48Z,on loan
Philipp Wydra,Rapid Wien,Francs Borains,0,2026-04-20T12:15:33Z,contract
Issaka Seidu,Nordsjælland,Ljungskile,0,2026-04-20T11:37:10Z,on loan
Marek Halda,Pardubice,MFK Chrudim,0,2026-04-20T10:02:03Z,on loan
Nils Eggens,FC Groningen,De Graafschap,0,2026-04-19T12:08:40Z,on loan
Elias Sanderød,Rosenborg,Stjordals Blink,0,2026-04-19T11:37:56Z,on loan
Matías Klimowicz,Instituto,Deportivo Cuenca,0,2026-04-19T10:11:46Z,on loan
Franco Díaz,Velez Sarsfield,Temperley,0,2026-04-19T08:44:14Z,on loan
Bruninho,Athletico Paranaense,Shakhtar Donetsk,11000000,2026-04-18T14:20:34Z,contract
Toby Oluwayemi,Celtic,Leyton Orient,0,2026-04-18T09:41:52Z,contract
Zak Johnson,Sunderland,York City,0,2026-04-18T08:25:39Z,on loan
Zacarías López,Huachipato,Deportes Iquique,0,2026-04-18T07:01:09Z,contract
Kevin López,Deportivo Pasto,Tigres FC,0,2026-04-18T06:32:12Z,on loan
Andrés Alfonso,Independiente Medellin,Bogota FC,0,2026-04-18T06:04:05Z,contract
Lawan,Vitoria,Botafogo PB,0,2026-04-18T05:29:02Z,on loan
Brandon Cortés,Boca Juniors,Patronato de Parana,0,2026-04-18T05:15:28Z,on loan
Benicio Pená,Free agent,Sønderjyske,0,2026-04-17T12:35:34Z,contract
Santiago López,Pumas,Atlético Ottawa,0,2026-04-17T12:09:03Z,on loan
Dominic Sadi,Bournemouth,Novi Pazar,0,2026-04-17T08:03:40Z,contract
Héctor Arango,Aguilas Doradas,Orsomarso Sportivo Clube,0,2026-04-15T10:19:18Z,contract
Andrés Salazar,Atletico Nacional,FK Riga,0,2026-04-14T10:52:50Z,contract
Matthew Britton,Shamrock Rovers,Kerry,0,2026-04-14T09:53:19Z,on loan
Alexander Smith,Rangers,Dumbarton,0,2026-04-13T10:49:56Z,on loan
Andrej Kadlec,Mlada Boleslav,Nitra,0,2026-04-13T06:28:48Z,contract
Cristian Ludueña,Talleres,9 de Julio Rafaela,0,2026-04-13T04:50:11Z,contract
Alexis Mancilla,Deportes Concepcion,Arturo Fernández Vial,0,2026-04-12T09:00:52Z,contract
Jamie Sneddon,Falkirk,Queen of the South,0,2026-04-12T08:32:13Z,on loan
Stian Sjøvold Thorstensen,Vålerenga,Ranheim,0,2026-04-12T08:26:43Z,on loan
Srdjan Mijailovic,Al-Wasl,Cukaricki,0,2026-04-12T07:24:27Z,contract
Peder Hoel Lervik,Molde,Åsane,0,2026-04-12T07:14:45Z,on loan
Joyeux Bungi,RB Leipzig,NY Red Bulls,0,2026-04-12T00:59:38Z,on loan
Andrea Sodero,Empoli,Pianese,0,2026-04-11T11:06:39Z,on loan
Luciano Arnijas,Union La Calera,Deportivo Maipu,0,2026-04-11T04:21:21Z,on loan
Kobe Corbanie,Royal Antwerp,KV Mechelen,0,2026-04-10T06:24:08Z,contract
Simone Giorgeschi,Spezia,Alcione,0,2026-04-10T05:43:01Z,on loan
Patryk Kusztal,Zagłębie Lubin,Warta Poznań,0,2026-04-10T04:38:32Z,on loan
Berkant Bayrak,HB Køge,Sønderjyske,0,2026-04-10T02:47:25Z,contract
Konstantin Shiltsov,Neftekhimik,Baltika,0,2026-04-10T02:29:34Z,contract
Dagats Worko,Hapoel Ramat Gan,Beitar Jerusalem,0,2026-04-10T00:33:40Z,contract
Tobias Weigel,FC Heidenheim,Frankfurt,0,2026-04-10T00:04:55Z,contract
Felix Vogler,Magdeburg,SC Verl,0,2026-04-10T00:01:44Z,contract
Timur Gayret,SC Verl,Paderborn,0,2026-04-09T23:56:35Z,contract
