joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Stephan Negru,Oxford Utd,Swindon,0,2026-06-23T22:25:58Z,contract
Taïryk Arconte,Rodez,Millwall,0,2026-06-23T22:15:25Z,contract
Adrian Szczutowski,Free agent,Radomiak Radom,0,2026-06-23T19:55:06Z,contract
Mauro Icardi,Galatasaray,Free agent,0,2026-06-23T18:06:36Z,contract
Berkan Kutlu,Konyaspor,Free agent,0,2026-06-23T18:05:25Z,contract
Riechedly Bazoer,Konyaspor,Free agent,0,2026-06-23T18:04:10Z,contract
Casper Højer Nielsen,Rizespor,Free agent,0,2026-06-23T17:58:59Z,contract
Salih Uçan,Beşiktaş,Free agent,0,2026-06-23T17:58:16Z,contract
Iñaki Peña,Barcelona,Panathinaikos,3000000,2026-06-23T17:54:46Z,contract
Marko Jevtovic,Konyaspor,Free agent,0,2026-06-23T17:50:11Z,contract
Ersin Destanoglu,Beşiktaş,Free agent,0,2026-06-23T17:47:44Z,contract
Remo Freuler,Bologna,Free agent,0,2026-06-23T17:34:20Z,contract
Dominik Holec,Piast Gliwice,Free agent,0,2026-06-23T17:22:59Z,contract
Onurcan Piri,Kayserispor,Kocaelispor,0,2026-06-23T17:17:48Z,contract
Edin Visca,Free agent,Başakşehir,0,2026-06-23T17:17:08Z,contract
Domen Gril,Académico Viseu FC,Piast Gliwice,0,2026-06-23T17:16:07Z,contract
Jean Pierre Nsame,Legia Warszawa,Pogoń Szczecin,0,2026-06-23T17:15:22Z,contract
Isak Dahlqvist,BW Linz,Tromsø,0,2026-06-23T16:45:08Z,contract
Miguel Atienza,Burgos CF,Free agent,0,2026-06-23T15:13:15Z,contract
Michael Steinwender,Hearts,Bochum,0,2026-06-23T13:24:43Z,contract
Fernand Goure,Westerlo,Radomiak Radom,0,2026-06-23T12:30:09Z,contract
Koki Ando,Mito Hollyhock,Royal Antwerp,0,2026-06-23T12:10:41Z,contract
Robert Wagner,Freiburg,Dynamo Dresden,850000,2026-06-23T11:40:18Z,contract
Maksim Mukhin,CSKA,Rostov,0,2026-06-23T11:24:20Z,contract
Giacomo Vrioni,Cesena,Wolfsberger AC,0,2026-06-23T11:14:13Z,contract
Mamadou Coulibaly,Südtirol,Free agent,0,2026-06-23T10:58:47Z,contract
Léandre Kuavita,Standard Liege,Free agent,0,2026-06-23T10:55:49Z,contract
Kévin Boma,Estoril,Salzburg,7000000,2026-06-23T10:55:36Z,contract
Nicolas Ngamaleu,Dinamo,Free agent,0,2026-06-23T10:53:01Z,contract
David Boison,Medeama SC,Sønderjyske,200000,2026-06-23T10:11:12Z,contract
Doron Leidner,Olympiacos,Hapoel Tel Aviv,0,2026-06-23T09:21:21Z,contract
Andrés Correa,Deportivo Cali,Once Caldas,0,2026-06-23T09:15:17Z,contract
Sarel Cohen,Maccabi Haifa,Hapoel Kfar Saba,0,2026-06-23T09:15:10Z,contract
Luis Quiñones,Pachuca,America de Cali,0,2026-06-23T09:13:03Z,contract
Brayan Córdoba,Cucuta,America de Cali,0,2026-06-23T09:10:55Z,contract
Juan Castilla,RKC Waalwijk,Llaneros FC,0,2026-06-23T09:06:54Z,contract
Stav Israeli,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva,0,2026-06-23T09:05:02Z,contract
Jorge Rivaldo,Aguilas Doradas,Athletico Paranaense,1200000,2026-06-23T08:51:16Z,contract
Panagiotis Tachtsidis,Remo,Karmiotissa Pano Polemidia,0,2026-06-23T08:42:45Z,contract
Dan Lee-Yam,Maccabi Netanya,Maccabi Petach Tikva,0,2026-06-23T08:34:08Z,contract
King Manu,Düsseldorf,Energie Cottbus,0,2026-06-23T07:17:36Z,contract
Thiago Silva,FC Porto,Fluminense,0,2026-06-23T07:12:41Z,contract
Kaj Sierhuis,Free agent,NEC Nijmegen,0,2026-06-22T21:51:23Z,contract
Tobias Storm,Lyngby,NEC Nijmegen,1500000,2026-06-22T21:48:42Z,contract
Hauke Wahl,St. Pauli,Wolfsburg,2000000,2026-06-22T21:40:36Z,contract
Triantafyllos Tsapras,Levadiakos,Panathinaikos,3000000,2026-06-22T21:31:28Z,contract
Bobby Clark,Salzburg,Derby,8000000,2026-06-22T20:50:23Z,contract
Jonathan Viera,Las Palmas,Free agent,0,2026-06-22T20:43:16Z,contract
Adam Andersson,Aalborg Freja,Örgryte,0,2026-06-22T20:20:23Z,contract
Sergio Canales,Monterrey,Racing Santander,0,2026-06-22T19:03:18Z,contract
Sergio Ruiz,Free agent,Las Palmas,0,2026-06-22T18:23:57Z,contract
